id;predict
0;52442,25199818086
1;44810,65838639408
3;30588,641993058816
9;78916,85555233258
11;43514,24391768624
12;153901,10866813068
13;57513,24608972624
15;143709,1491264269
16;34074,15484163919
17;33472,4386701864
18;26914,499200782186
21;115751,62582429964
23;39026,43457549833
24;84459,09201406073
25;29756,861646572925
33;41377,78791909774
36;161289,24804679048
37;162994,25058354068
38;110491,17327710542
39;77240,64180618408
43;41138,14632238056
45;126757,1491759225
47;52402,823940666814
50;49882,68438861511
51;165448,38247899068
53;115084,4402992869
57;144578,0338781139
58;42119,4782461256
59;50978,0762132995
60;243564,5105578258
62;61428,62579331442
63;693386,0526848896
64;144718,2107012432
65;76733,16694969215
68;51489,7660386997
69;254153,0311364386
73;96484,91627629225
76;75029,27732214332
77;42228,13468143581
78;59496,41467111142
80;116363,62727064372
82;58754,83002722821
86;316538,7796130368
89;236110,89477649843
93;199031,74896192964
94;568704,0489054295
96;30173,23427292959
100;64833,95445722916
101;105656,59424333434
104;56536,791152721664
105;47112,76766379784
107;50753,58915305402
109;67083,74580210568
110;147291,4737220524
112;51601,72903233154
113;119543,81990996364
114;31288,99826022707
115;45421,98390195996
116;95535,66141233315
117;125590,08597058927
118;55259,40928489615
119;132542,4056610243
123;139489,131748469
125;288143,79341413704
126;46998,62977141725
129;31133,781375796512
132;53368,64842926676
133;53553,86541647991
134;25009,34940115033
136;25765,36701782984
142;43993,968758054805
144;37440,94581719862
145;42343,77799986136
150;36684,602416529095
152;284182,5336111089
154;535652,004566742
155;31500,26513396691
156;39851,119504138565
159;151401,805497254
160;172772,19898493157
162;47353,28747294949
165;27273,609255116025
167;48579,79808255284
173;75923,45871237878
177;294210,2641077355
179;36967,63232005721
180;31701,667262835806
182;191677,69577970146
183;50432,11309152566
186;404037,2893975602
190;88336,89844890678
191;84700,62322024896
192;142095,91554136036
195;67673,81608919035
197;77149,90862004258
198;99619,95498977123
201;147137,23240642733
202;55048,802809347006
207;145735,94032801015
208;37932,15367605948
209;30688,038250804573
211;170336,80584287338
212;173313,02675879566
214;44447,07236321617
219;51612,428475283465
220;151362,40718212648
223;66854,9756480993
232;47103,74407508991
233;79293,85331279236
234;48951,80983671134
241;65508,119659720185
242;56488,38708452273
243;65070,29754015009
244;61268,40812920691
246;63874,746706936574
250;34565,736764011985
252;107528,68074658005
253;59466,09672395152
254;331398,3768637674
260;25100,003101341845
262;261583,01742627556
264;36888,45043896466
265;43231,37670130189
267;50939,89410669064
268;165740,18794554632
271;36332,90677575495
272;53959,57974977131
273;95560,8962117007
275;197292,33412275955
277;50113,60718900846
278;64116,88076914959
279;101050,48136921095
280;58605,69114593812
282;108936,68076838802
283;58152,30133353434
286;118397,7098266023
290;161350,58465146975
291;66727,8555500308
292;45044,15114862163
294;39526,42306950095
295;69788,35909457307
297;113185,96385134106
299;56294,14566185897
302;144988,21565940217
303;181879,31243435465
308;21170,4317304017
313;32409,58266619641
314;34078,7677145881
315;198284,19055464122
317;39276,77859664904
319;21314,70213591964
320;44996,798722456064
322;35733,15948577615
323;35466,92065021997
325;27398,34067935795
326;31055,71443594955
327;43314,64767361606
329;257390,43583513697
330;129562,79009060957
332;59213,91303333994
334;31662,158686129776
335;85736,76219041599
339;133451,51281796867
342;89082,27833150866
344;41120,56583027626
345;44611,18697830585
348;33957,020745424175
352;116172,10147860115
354;37116,622086020245
355;59825,065192285314
360;25328,596545837063
362;283760,06611873093
363;38118,70366428671
364;191408,24694415316
369;66025,23477946961
373;54045,526559769714
374;28874,12525878556
375;379913,17889025
377;29260,17151173718
378;62073,50715707437
379;71464,36725227666
381;49116,75626590019
383;34385,25585387315
386;55221,17093759066
387;27190,17553672417
390;115051,15172526197
391;50563,87551867652
394;34204,36804266189
397;143588,62648264613
399;73263,02171784798
400;44396,648259624526
402;115789,27310866996
406;67766,15928198272
407;296591,0191477541
409;50160,90517943048
413;556888,8191353986
414;41517,70005216432
416;216007,57479899557
417;25077,5922122189
420;57745,03864738236
421;34681,926565538044
422;45657,93607126259
423;267750,55840262613
424;32135,454274210315
425;47739,52540740029
426;86724,68600165707
429;52937,4597572724
432;25761,185278515037
434;41177,42607990182
435;86538,05827303341
437;50928,674744723154
438;40158,8630319479
439;488629,8887951454
441;129017,20839355125
442;899087,7222497095
443;22842,26385685309
444;99028,42130755358
446;49126,525117745245
450;126156,65780288866
455;41662,01863681514
456;130118,22593080465
461;33321,91493181403
462;30493,5694118928
463;96120,64528746989
468;99461,49672567732
470;56011,47816695816
471;85648,39929493782
472;39809,91766436379
473;44273,97381027813
474;36755,60902424141
475;66687,17125845654
476;47590,58236091938
478;64628,99466325352
480;151160,58847846868
482;59865,78402275605
483;63691,421073542864
484;67843,71376614543
485;41197,61185668179
486;858301,6108850935
487;32892,90940455331
489;586273,409657744
491;37294,28986765093
493;281176,3528041767
494;78392,7341164418
495;134529,34268198418
496;45875,82524772899
499;35790,95556024138
500;44978,783550847606
503;183126,1985936576
504;105494,65267701438
505;42775,89315740095
510;138246,63166202683
511;182601,51001881438
518;24106,308457718187
520;62471,192069140365
522;76949,21691951723
527;46453,24669974727
528;34317,82879818752
529;78168,58354341763
530;55920,27622655818
532;65792,65377524869
534;121972,96933430164
535;158616,48746920426
538;48532,098517935694
542;65652,77790459931
544;54480,4953653784
550;219834,22393741106
552;32891,77319216996
554;23232,50153741505
555;36263,5834576108
557;154624,3851250346
558;61165,46819540836
559;41886,47730604431
560;52388,261486545714
561;48359,16652934032
562;117996,1990366603
565;132542,02978545692
566;137702,86529120995
567;261381,92957721875
569;184931,56393237071
574;40251,37970630005
575;53723,10817077391
576;84481,00257685811
577;40340,19155894192
578;51670,4221922816
581;99187,75161348836
582;41039,2751957614
583;68480,13377898751
589;43146,97153720709
591;54211,90658487511
592;41474,37814076003
594;127697,78762466852
595;41719,330906935545
596;189915,57167697276
598;40325,36011459018
601;376328,5665124189
603;38745,74078716594
604;58361,02961487565
605;60412,08635967358
606;57009,64651166572
608;52725,95031105647
609;56252,95626036835
611;272464,61277159996
613;51456,14866692601
614;71289,30819217057
616;56915,97112962897
621;126001,02150689275
622;32308,65053415732
623;252079,93980446953
626;33683,15339461959
627;35003,01757268008
628;96057,16658892114
629;167779,40610594192
631;247999,2078646992
632;98429,24229864788
633;40273,00921987529
635;79789,33836617523
636;127108,41690391158
637;171019,7171594061
639;72838,25984943793
642;62641,94432876683
643;37683,79629711781
645;59755,86980041183
648;41608,52695472451
650;116402,45475210558
655;49393,00234017553
656;185501,7537657774
661;39230,347312008926
662;53489,71733559991
664;37092,97833514734
665;29475,569277156683
667;42970,59567372696
671;52513,05950943088
672;28948,563318479883
673;65036,222168494205
674;255176,0422686989
683;112846,7103828711
686;39339,62967304342
687;1415997,01732868
688;156917,32969664363
689;32446,038406678075
691;52034,039701299866
692;128864,43347178397
694;23114,711961542605
698;250146,8320889619
702;152136,08271146676
705;38696,77637785535
706;131786,47860060356
707;70903,14090081505
708;40250,06837263491
709;83238,22668524347
711;87210,5002988401
714;190027,26522569227
721;81960,37303619063
723;764612,9259124218
724;27684,676762995005
727;187611,43658376654
730;170555,97260002609
731;36820,59096366809
732;89081,37406750617
734;211535,38341543634
735;41771,248883348606
736;42573,10743730804
740;50551,304917377565
742;69307,88137638294
745;33948,759776902814
747;321319,7234975463
749;44950,756798341376
750;46565,175634126776
753;112577,69214823378
754;71978,50870222985
756;87145,93006939637
757;36607,16072790845
758;62277,01258388352
759;28384,66761746356
760;199875,2387527039
762;33982,173206943255
765;69713,58125397429
766;106921,0823409706
770;142361,73928295515
771;72736,51220385983
773;49307,720097812606
781;42996,33882945147
786;27749,137561419608
787;49432,95539803648
788;31965,928725173733
789;113804,57687085027
790;81409,7865892553
792;61268,45559985655
796;54943,46419763741
798;125670,05228869892
800;64541,827586373605
804;82510,85438163596
806;34519,36911187452
808;56732,57710150606
811;48626,522230273695
814;43228,52060855941
816;43518,53990298638
818;36204,33254378402
819;119906,20470807156
